player_id,full_name,web_name,player_name,photo_url
194,Bernardo Fernandes Da Silva Junior,Bernardo,B. Junior,
198,Bilal El Khannouss,Khannouss,Khannouss,
199,Billy Blacker,Blacker,Blacker,
200,Billy Crellin,Crellin,Crellin,
201,Billy Gilmour,Gilmour,Gilmour,
202,Billy Koumetio,Koumetio,Koumetio,
203,Billy Sharp,Sharp,Sharp,
204,Björn Engels,Engels,Engels,
205,Bobby Clark,Clark,B. Clark,
206,Bobby De Cordova Reid,De Cordova-Reid,De Cordova-Reid,
207,Bobby Decordova Reid,Decordova-Reid,Decordova-Reid,
211,Boubakary Soumaré,Soumaré,Soumaré,
212,Bradley Ibrahim,Ibrahim,Ibrahim,
213,Braian Ojeda Rodríguez,Ojeda,Ojeda,
215,Brandon Aguilera Zamora,B.Aguilera,B.Aguilera,
217,Brandon Pierrick,Pierrick,Pierrick,
218,Brandon Williams,Williams,Williams,
219,Branislav Ivanovic,Ivanovic,Ivanovic,
223,Brice Samba,Samba,Samba,
224,Bruno André Cavaco Jordão,Jordão,B. Jordão,
226,Bruno Cavaco Jordão,Jordão,B. Jordão,
231,Bénie Traoré,T.Bénie,T.Bénie,
232,CJ Egan Riley,Egan-Riley,C. Riley,
234,Caleb Okoli,Okoli,Okoli,
235,Caleb Taylor,Taylor,C. Taylor,
236,Caleb Watts,Watts,C. Watts,
237,Caleb Wiley,Wiley,Wiley,
243,Callum Robinson,Callum Robinson,Callum Robinson,
244,Callum Scanlon,Scanlon,Scanlon,
246,Calum Chambers,Chambers,C. Chambers,
249,Cameron Archer,Archer,Archer,
250,Cameron Burgess,Burgess,Burgess,
251,Cameron Carter Vickers,Carter-Vickers,Carter-Vickers,
253,Cameron Peupion,Peupion,Peupion,
254,Cameron Plain,Plain,Plain,
260,Carlos Mendes Gomes,Mendes,Mendes,
262,Carlos Ribeiro Dias,Cafú,Cafú,
263,Carlos Roberto Forbs Borges,Borges,Borges,
264,Carlos Soler,Soler,C. Soler,
265,Carlos Vinícius Alves Morais,Vinícius,Vinícius,
266,Carlton Morris,Morris,C. Morris,
267,Carney Chukwuemeka,Chukwuemeka,Chukwuemeka,
268,Cauley Woodrow,Woodrow,Woodrow,
269,Cedric Kipre,Kipre,Kipre,
270,Cengiz Ünder,Ünder,Ünder,
271,Cenk Tosun,Tosun,Tosun,
272,Cesare Casadei,Casadei,Casadei,
274,Charles Sagoe,Sagoe,Sagoe,
275,Charlie Austin,Austin,C. Austin,
276,Charlie Cresswell,Cresswell,C. Cresswell,
277,Charlie Goode,Goode,Goode,
278,Charlie Patino,Patino,Patino,
279,Charlie Robinson,C.Robinson,C.Robinson,
280,Charlie Savage,Savage,Savage,
282,Charlie Taylor,Taylor,C. Taylor,
283,Charlie Whitaker,Whitaker,Whitaker,
284,Che Adams,Adams,C. Adams,
286,Cheikh Diaby,Diaby,C. Diaby,
287,Cheikhou Kouyaté,Kouyaté,Kouyaté,
288,Chem Campbell,Campbell,C. Campbell,
291,Chris Basham,Basham,Basham,
294,Chris Smalling,Smalling,Smalling,
296,Christian Atsu,Atsu,Atsu,
297,Christian Benteke,Benteke,Benteke,
298,Christian Chigozie,Chigozie,Chigozie,
299,Christian Eriksen,Eriksen,Eriksen,
300,Christian Fuchs,Fuchs,Fuchs,
301,Christian Kabasele,Kabasele,Kabasele,
302,Christian Marques,Marques,Marques,
304,Christian Pulisic,Pulisic,Pulisic,
305,Christian Saydee,Saydee,Saydee,
307,Christoph Zimmermann,Zimmermann,Zimmermann,
310,Ciaran Clark,Clark,C. Clark,
311,Cieran Slicker,Slicker,Slicker,
312,Claudio Bravo,Bravo,Bravo,
314,Claudio Gomes,Gomes,C. Gomes,
315,Clément Lenglet,Lenglet,Lenglet,
321,Connor Ronan,Ronan,Ronan,
322,Connor Wickham,Wickham,Wickham,
324,Conor Chaplin,Chaplin,Chaplin,
325,Conor Coady,Coady,Coady,
326,Conor Coventry,Coventry,Coventry,
328,Conor Hourihane,Hourihane,Hourihane,
329,Conor Townsend,Townsend,C. Townsend,
330,Conrad Egan Riley,Egan-Riley,C. Riley,
331,Corrie Ndaba,Ndaba,Ndaba,
332,Craig Cathcart,Cathcart,Cathcart,
333,Craig Dawson,Dawson,Dawson,
335,Cristiano Ronaldo dos Santos Aveiro,Ronaldo,Ronaldo,
338,Cyrus Christie,Christie,C. Christie,
339,Cédric Alves Soares,Cédric,Cédric,
340,César Azpilicueta,Azpilicueta,Azpilicueta,
342,Daiki Hashioka,Hashioka,Hashioka,
343,Dale Stephens,Stephens,D. Stephens,
344,Dale Taylor,Dale Taylor,Dale Taylor,
345,Damola Ajayi,Ajayi,D. Ajayi,
347,Dan Gosling,Gosling,Gosling,
348,Dan Potts,Potts,D. Potts,
351,Daniel Adu Adjei,Adu-Adjei,D. Adjei,
352,Daniel Amartey,Amartey,Amartey,
353,Daniel Bachmann,Bachmann,Bachmann,
355,Daniel Castelo Podence,Podence,Podence,
356,Daniel Ceballos Fernández,Ceballos,Ceballos,
357,Daniel Chesters,Chesters,Chesters,
358,Daniel Gore,Gore,Gore,
359,Daniel Iversen,Iversen,Iversen,
362,Daniel Langley,Langley,Langley,
364,Daniel N'Lundulu,N'Lundulu,N'Lundulu,
365,Danilo dos Santos de Oliveira,Danilo,Danilo,
366,Danny Ings,Ings,Ings,
367,Danny Rose,Rose,Rose,
368,Danny Ward,Ward,D. Ward,
