match_id,gw_id,player_id,team_id,position_id,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,transfers_in,transfers_out,now_cost,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,selected_by_percent
20200507,202001,2,5,4,0,0,-3,0,0.3,2,0,3.4,1.2,45,0,0,0,0,0,32.0,1,0.0,0.0,55.0,0,,,,,,,,,,
20202618,202001,3,26,2,0,0,11,0,11.2,2,0,2.2,10.4,90,0,0,0,0,0,0.0,1,0.0,0.0,50.0,0,,,,,,,,,,
20200507,202001,6,5,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20202127,202001,7,21,1,0,0,12,0,0.0,2,0,1.8,18.2,90,0,0,0,0,2,0.0,1,0.0,0.0,50.0,0,,,,,,,,,,
20202309,202001,10,9,3,0,0,20,1,44.6,0,0,6.9,20.4,90,0,0,0,0,0,4.0,3,0.0,0.0,55.0,0,,,,,,,,,,
20201001,202001,14,10,3,0,0,-2,0,1.8,3,0,0.2,0.0,62,0,0,0,0,0,5.0,2,0.0,0.0,50.0,0,,,,,,,,,,
20202127,202001,25,27,3,0,0,6,1,1.8,0,0,3.2,12.8,90,0,0,0,0,0,17.0,3,0.0,0.0,65.0,0,,,,,,,,,,
20201412,202001,18,12,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20200507,202001,20,5,3,0,0,6,0,27.2,1,0,3.6,6.8,44,0,0,0,0,0,2.0,1,0.0,0.0,65.0,0,,,,,,,,,,
20200507,202001,23,5,2,0,0,14,0,11.8,3,0,2.8,14.8,90,0,0,0,0,0,1.0,1,0.0,0.0,45.0,0,,,,,,,,,,
20202513,202001,33,13,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20201412,202001,35,14,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202513,202001,37,25,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20201001,202001,39,1,2,0,0,21,1,2.8,0,0,1.7,10.2,90,0,0,0,0,0,4.0,6,0.0,0.0,50.0,0,,,,,,,,,,
20202618,202001,43,26,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20201001,202001,46,10,4,0,0,3,0,0.3,0,0,1.0,3.0,27,0,0,0,0,0,7.0,1,0.0,0.0,60.0,0,,,,,,,,,,
20201001,202001,63,1,4,0,1,29,1,12.7,0,1,9.9,38.6,86,0,0,0,0,0,48.0,7,0.0,0.0,85.0,0,,,,,,,,,,
20200507,202001,65,5,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20202309,202001,47,9,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,60.0,0,,,,,,,,,,
20200822,202001,51,22,1,0,0,17,0,0.0,1,0,2.3,22.6,90,0,0,0,0,2,0.0,2,0.0,0.0,45.0,0,,,,,,,,,,
20201412,202001,54,14,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,65.0,0,,,,,,,,,,
20201001,202001,70,10,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20200507,202001,74,5,3,0,0,3,0,0.7,0,0,0.5,4.4,11,0,0,0,0,0,0.0,1,0.0,0.0,55.0,0,,,,,,,,,,
20201412,202001,75,14,1,0,0,9,0,0.0,3,0,0.4,3.8,90,0,0,0,0,0,0.0,1,0.0,0.0,60.0,0,,,,,,,,,,
20202309,202001,77,9,3,0,0,16,1,3.4,0,0,2.1,18.0,90,0,0,0,0,0,0.0,3,0.0,0.0,55.0,0,,,,,,,,,,
20202618,202001,78,18,3,0,0,7,1,2.8,0,0,1.2,3.8,74,0,0,0,0,0,5.0,3,0.0,0.0,55.0,0,,,,,,,,,,
20201001,202001,80,10,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20200507,202001,93,7,2,0,0,14,0,0.7,1,0,2.1,17.8,90,0,0,0,0,0,2.0,2,0.0,0.0,50.0,0,,,,,,,,,,
20201412,202001,98,14,2,1,0,20,0,19.6,3,0,4.7,23.4,90,0,0,0,0,0,4.0,4,0.0,0.0,70.0,0,,,,,,,,,,
20202618,202001,100,26,3,0,0,-1,0,1.6,1,0,3.0,2.8,23,0,0,0,0,0,26.0,0,0.0,0.0,60.0,1,,,,,,,,,,
20200822,202001,101,8,3,1,2,26,1,33.7,0,0,6.4,28.4,90,0,0,0,0,0,2.0,8,0.0,0.0,60.0,0,,,,,,,,,,
20202309,202001,105,9,3,0,0,11,1,3.3,0,0,2.7,3.8,67,0,0,0,0,0,20.0,3,0.0,0.0,55.0,0,,,,,,,,,,
20201001,202001,103,10,3,0,0,4,0,11.8,0,0,2.6,14.4,27,0,0,0,0,0,0.0,1,0.0,0.0,45.0,0,,,,,,,,,,
20202618,202001,108,18,4,0,0,3,1,14.0,0,0,6.9,7.0,87,0,0,0,0,0,48.0,2,0.0,0.0,55.0,0,,,,,,,,,,
20202618,202001,112,26,2,0,0,14,0,1.1,2,0,3.7,30.0,90,0,0,0,0,0,6.0,1,0.0,0.0,50.0,0,,,,,,,,,,
20200822,202001,113,22,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202309,202001,118,9,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20201001,202001,119,10,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20201001,202001,123,10,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20200507,202001,124,7,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20202618,202001,138,26,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202513,202001,155,13,3,0,0,5,1,2.5,0,0,2.7,0.0,66,0,0,0,0,0,24.0,3,0.0,0.0,65.0,0,,,,,,,,,,
20202309,202001,158,23,3,0,0,3,0,11.9,0,0,4.1,8.4,45,0,0,0,0,0,21.0,1,0.0,0.0,80.0,0,,,,,,,,,,
20201412,202001,159,12,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,
20200507,202001,187,7,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20202309,202001,166,23,2,0,0,15,0,35.5,1,0,9.2,20.2,90,0,0,0,0,0,36.0,2,0.0,0.0,50.0,0,,,,,,,,,,
20202618,202001,173,26,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,
20202127,202001,177,21,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20200507,202001,180,5,2,0,0,16,0,0.8,3,0,1.5,14.2,78,0,0,0,0,0,0.0,1,0.0,0.0,45.0,0,,,,,,,,,,
20200507,202001,194,5,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,
20202309,202001,193,9,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,60.0,0,,,,,,,,,,
20201001,202001,196,1,1,0,1,29,1,0.0,0,0,1.4,14.0,90,0,0,0,0,2,0.0,7,0.0,0.0,50.0,0,,,,,,,,,,
20200507,202001,201,7,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202127,202001,203,21,4,0,0,-4,0,3.0,2,0,2.7,1.4,90,0,0,0,0,0,23.0,2,0.0,0.0,60.0,0,,,,,,,,,,
20201001,202001,207,10,4,0,0,4,0,0.4,0,0,0.2,0.0,15,0,0,0,0,0,2.0,1,0.0,0.0,55.0,0,,,,,,,,,,
20200822,202001,217,8,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202127,202001,224,27,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20201001,202001,230,1,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20200507,202001,240,7,3,0,0,3,0,1.3,0,0,0.2,0.8,10,0,0,0,0,0,0.0,1,0.0,0.0,60.0,0,,,,,,,,,,
20202513,202001,243,25,4,0,0,-3,0,1.3,1,0,0.1,0.0,59,0,0,0,0,0,2.0,1,0.0,0.0,55.0,0,,,,,,,,,,
20202618,202001,245,18,4,0,2,32,1,23.3,0,1,10.5,32.0,84,0,0,0,0,0,50.0,8,0.0,0.0,65.0,0,,,,,,,,,,
20201001,202001,246,1,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202309,202001,251,23,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,
20202513,202001,269,25,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202309,202001,271,9,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,60.0,0,,,,,,,,,,
20202513,202001,275,25,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20200822,202001,287,8,3,0,0,3,1,0.3,0,0,3.0,12.6,90,0,0,0,0,0,17.0,3,0.0,0.0,50.0,0,,,,,,,,,,
20200822,202001,284,22,4,0,0,3,0,13.1,1,0,3.9,4.4,84,0,0,0,0,0,21.0,2,0.0,0.0,60.0,0,,,,,,,,,,
20202618,202001,296,18,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20200822,202001,297,8,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20202513,202001,300,13,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20200507,202001,304,7,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,85.0,0,,,,,,,,,,
20200507,202001,306,5,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,
20202127,202001,291,21,2,0,0,14,0,1.5,2,0,1.5,11.4,70,0,0,0,0,0,2.0,1,0.0,0.0,50.0,0,,,,,,,,,,
20202618,202001,310,18,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20200822,202001,322,8,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202127,202001,325,27,2,0,2,29,1,0.0,0,0,2.2,22.0,90,0,0,0,0,0,0.0,8,0.0,0.0,50.0,0,,,,,,,,,,
20202513,202001,329,25,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20201412,202001,337,14,3,0,0,2,0,13.3,1,0,1.8,2.4,24,0,0,0,0,0,2.0,1,0.0,0.0,45.0,0,,,,,,,,,,
20201001,202001,338,10,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20201001,202001,339,1,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20200507,202001,340,7,2,0,0,3,0,0.5,0,0,0.3,0.4,5,0,0,0,0,0,2.0,1,0.0,0.0,60.0,0,,,,,,,,,,
20200507,202001,343,5,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202513,202001,352,13,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,
20202127,202001,355,27,3,1,0,23,1,18.3,0,0,4.4,25.8,75,0,0,0,0,0,0.0,6,0.0,0.0,55.0,0,,,,,,,,,,
20201001,202001,356,1,3,0,0,6,0,1.3,0,0,1.1,5.2,12,0,0,0,0,0,4.0,1,0.0,0.0,50.0,0,,,,,,,,,,
20200822,202001,366,22,4,0,0,1,0,11.2,1,0,8.0,8.6,90,0,0,0,0,0,60.0,2,0.0,0.0,85.0,0,,,,,,,,,,
20202309,202001,367,23,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20202513,202001,368,13,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20200507,202001,346,5,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202513,202001,372,25,2,0,0,8,0,0.6,3,0,1.0,9.6,90,0,0,0,0,0,0.0,1,0.0,0.0,45.0,0,,,,,,,,,,
20202513,202001,375,25,2,0,0,6,0,11.5,1,0,3.0,6.2,68,0,0,0,0,0,12.0,2,0.0,0.0,45.0,0,,,,,,,,,,
20202618,202001,376,26,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202513,202001,379,25,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,
20201001,202001,382,1,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20202618,202001,385,26,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,
20202127,202001,383,21,4,0,0,2,0,2.7,0,0,1.2,0.8,19,0,0,0,0,0,8.0,1,0.0,0.0,55.0,0,,,,,,,,,,
20202309,202001,386,23,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20200507,202001,387,5,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20202618,202001,388,18,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202618,202001,391,26,3,0,0,15,0,14.5,2,0,4.4,21.6,90,0,0,0,0,0,8.0,2,0.0,0.0,50.0,0,,,,,,,,,,
20202513,202001,395,13,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20201001,202001,397,10,2,0,0,12,0,2.6,3,0,2.1,11.4,90,0,0,0,0,0,7.0,1,0.0,0.0,45.0,0,,,,,,,,,,
20202513,202001,400,13,3,1,0,25,1,16.8,0,0,7.8,27.8,74,0,0,0,0,0,33.0,6,0.0,0.0,55.0,0,,,,,,,,,,
20202127,202001,414,27,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,65.0,0,,,,,,,,,,
20201412,202001,420,14,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20202309,202001,425,9,4,0,2,34,1,13.7,0,1,8.6,38.4,88,0,0,0,0,0,34.0,8,0.0,0.0,70.0,0,,,,,,,,,,
20202618,202001,436,18,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,60.0,0,,,,,,,,,,
20200822,202001,439,8,3,0,0,3,0,8.8,0,0,1.7,4.4,9,0,0,0,0,0,4.0,1,0.0,0.0,60.0,0,,,,,,,,,,
20201001,202001,448,1,4,0,0,3,0,0.0,0,0,0.0,0.0,3,0,0,0,0,0,0.0,1,0.0,0.0,60.0,0,,,,,,,,,,
20200507,202001,461,7,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20201001,202001,463,1,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20201001,202001,466,1,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202618,202001,462,18,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202127,202001,469,21,2,0,0,13,0,6.9,2,0,2.6,13.2,90,0,0,0,0,0,6.0,1,0.0,0.0,55.0,0,,,,,,,,,,
20202309,202001,478,23,2,0,0,13,0,0.7,1,0,1.8,17.4,90,0,0,0,0,0,0.0,2,0.0,0.0,50.0,0,,,,,,,,,,
20202309,202001,481,23,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,60.0,0,,,,,,,,,,
20202127,202001,484,21,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20201412,202001,493,12,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
20202309,202001,496,9,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20202618,202001,498,18,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,
20201412,202001,500,14,3,1,0,13,0,1.0,1,0,0.7,4.2,32,0,0,0,0,0,2.0,4,0.0,0.0,55.0,0,,,,,,,,,,
20202127,202001,550,27,4,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,55.0,0,,,,,,,,,,
20202618,202001,501,26,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,45.0,0,,,,,,,,,,
