match_id,player_id,team_id,position_id,gw_id,was_home,total_shots,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,chances_created,final_third_passes,accurate_crosses,accurate_long_balls,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,aerial_duels_won,was_fouled,fouls_committed,saves,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,high_claim,offsides,xgot,start_min,finish_min,team_goals_conceded,penalties_scored
20250918,817,18,3,202513,0,1,0,0,0,0,57,46,0.0,5,0,1,1,6,0,0,0,2,3,6,2,1,1,1,0,0.0,0.0,0,0,0,0,0,0.0,0,90,1,0
20250918,7,18,1,202513,0,0,0,0,0,0,38,21,0.0,7,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0.89,-0.11,0,21,5,1,0,0.0,0,90,1,0
20250918,616,18,3,202513,0,2,1,0,1,5,33,17,0.0,2,1,1,0,2,0,3,1,0,0,4,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0.19,0,0,1,0
20250918,810,18,3,202513,0,0,0,0,0,2,24,17,1.0,1,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,1,0
20250918,1678,9,2,202513,1,0,0,0,0,0,77,46,0.0,9,1,4,4,3,0,4,4,0,4,3,3,1,0,1,0,0.0,0.0,0,0,0,0,0,0.0,0,90,4,0
20250918,1398,9,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250918,1914,18,2,202513,0,2,2,0,0,2,71,58,0.0,6,0,3,0,4,0,5,5,0,7,2,1,6,0,1,0,0.0,0.0,0,0,0,0,0,1.4,0,90,1,0
20250918,1005,18,2,202513,0,1,0,3,0,2,87,50,2.0,2,2,1,0,2,1,1,1,0,5,4,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,1,0
20250918,1656,9,3,202513,1,0,0,1,0,1,12,7,1.0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,4,0
20250918,1007,18,3,202513,0,1,1,0,0,2,71,55,2.0,3,3,1,0,8,0,2,2,0,3,0,2,1,0,0,0,0.0,0.0,0,0,0,0,0,0.04,0,90,1,0
20250817,1127,17,3,202513,0,2,1,2,0,2,51,30,1.0,10,0,2,0,6,0,1,1,0,4,4,3,1,0,1,0,0.0,0.0,0,0,0,0,0,0.08,0,90,1,0
20250817,876,17,4,202513,0,1,1,0,0,2,51,22,1.0,1,0,0,0,3,0,2,2,0,8,7,2,6,0,1,0,0.0,0.0,0,0,0,0,0,0.16,0,90,1,0
20250918,53,18,2,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250918,1517,18,4,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250918,1854,9,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250817,1840,8,1,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250817,1661,17,2,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250817,1905,17,1,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250817,1085,17,3,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250918,1853,9,4,202513,1,2,0,0,0,7,23,8,1.0,0,0,0,0,1,0,0,0,2,4,8,0,4,0,1,0,0.0,0.0,0,0,0,0,0,0.0,0,0,4,0
20252005,1713,20,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250817,82,17,3,202513,0,1,0,1,0,1,47,21,2.0,2,0,0,0,1,0,1,1,0,7,4,6,1,3,2,0,0.0,0.0,0,0,0,0,0,0.0,0,1,1,0
20252005,1817,5,2,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250817,24,8,3,202513,1,1,1,0,0,1,48,23,1.0,8,1,2,1,7,0,2,0,1,5,2,5,0,2,0,0,0.0,0.0,0,0,0,0,0,0.05,0,0,2,0
20250817,1908,17,1,202513,0,0,0,0,0,0,40,27,0.0,5,0,5,0,5,0,1,0,0,0,0,0,0,0,0,2,1.07,0.07,0,27,5,0,0,0.0,0,90,1,0
20250817,1664,8,2,202513,1,0,0,0,0,1,27,10,0.0,1,0,0,0,1,0,5,3,0,1,4,1,0,1,2,0,0.0,0.0,0,0,0,0,0,0.0,0,0,2,0
20250817,963,17,3,202513,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1,90,0,0
20250817,903,8,3,202513,1,1,0,0,0,0,6,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,2,0
20250817,1353,17,2,202513,0,0,0,0,0,0,5,1,0.0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,1,90,0,0
20252005,456,20,3,202513,1,1,0,6,0,4,107,62,6.0,13,6,4,2,13,0,1,1,2,12,5,12,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,2,0
20252005,1738,20,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20252005,1818,5,2,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20252005,1920,20,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250701,942,1,1,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250701,1644,7,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250701,191,1,2,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250701,1087,7,2,202513,1,0,0,0,0,2,35,11,2.0,5,1,2,0,0,1,6,4,1,3,6,1,2,0,4,0,0.0,0.0,0,0,0,0,0,0.0,0,90,1,0
20250701,192,7,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250701,319,7,3,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250701,1830,7,3,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250701,487,1,3,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20250701,99,7,3,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,1477,12,2,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,1252,16,2,202513,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,675,12,3,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
20251612,1872,12,4,202513,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,90,0,0
