match_id,gw_id,home_team_id,away_team_id,home_team_elo,away_team_elo,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_crosses,away_accurate_crosses,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_aerial_duels_won,away_aerial_duels_won,home_successful_dribbles,away_successful_dribbles,gameweek,home_score,away_score,finished,home_team_name,away_team_name,season
20250718,202530,7,18,1930.44,1866.62,67.0,33.0,1.39,1.41,22.0,7.0,3.0,5.0,2.0,1.0,2.0,0.0,620.0,259.0,9.0,10.0,8.0,1.0,1.1,1.24,0.28,0.16,1.39,1.41,0.44,1.48,10.0,1.0,9.0,1.0,1.0,1.0,10.0,3.0,12.0,4.0,675.0,331.0,253.0,145.0,367.0,114.0,17.0,17.0,7.0,2.0,24.0,17.0,33.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,16.0,9.0,7.0,1.0,7.0,22.0,29.0,4.0,3.0,41.0,47.0,25.0,31.0,16.0,16.0,5.0,6.0,30.0,0.0,1.0,True,Chelsea,Newcastle,2025-26
20251423,202530,14,23,1949.06,1819.66,63.0,37.0,1.7,1.18,17.0,13.0,4.0,7.0,1.0,2.0,1.0,1.0,465.0,233.0,8.0,13.0,3.0,4.0,1.65,1.02,0.04,0.15,1.7,1.18,1.18,1.94,7.0,3.0,6.0,3.0,1.0,0.0,10.0,7.0,7.0,6.0,553.0,320.0,198.0,122.0,267.0,111.0,21.0,26.0,3.0,4.0,23.0,25.0,45.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,20.0,11.0,12.0,2.0,6.0,17.0,36.0,6.0,3.0,49.0,47.0,35.0,39.0,14.0,8.0,12.0,12.0,30.0,1.0,1.0,True,Liverpool,Spurs,2025-26
20250812,202530,8,12,1805.77,1780.19,67.0,33.0,0.67,1.12,12.0,10.0,0.0,3.0,0.0,1.0,0.0,1.0,364.0,142.0,12.0,11.0,8.0,3.0,0.15,0.11,0.52,0.21,0.67,0.33,0.0,0.36,5.0,4.0,7.0,3.0,0.0,0.0,7.0,7.0,5.0,3.0,463.0,228.0,162.0,79.0,202.0,63.0,27.0,18.0,4.0,4.0,22.0,24.0,26.0,20.0,5.0,2.0,2.0,1.0,0.0,1.0,9.0,15.0,3.0,6.0,2.0,6.0,51.0,55.0,3.0,0.0,61.0,57.0,23.0,29.0,38.0,28.0,5.0,4.0,30.0,0.0,0.0,True,Crystal Palace,Leeds,2025-26
20250317,202531,3,17,1835.06,1880.65,55.0,45.0,1.8,1.77,16.0,14.0,5.0,5.0,2.0,2.0,1.0,1.0,426.0,320.0,10.0,9.0,6.0,8.0,0.91,0.66,0.11,0.32,1.02,0.98,1.46,1.37,7.0,2.0,4.0,7.0,1.0,0.0,6.0,8.0,10.0,6.0,502.0,415.0,180.0,172.0,246.0,148.0,19.0,20.0,2.0,3.0,15.0,12.0,23.0,27.0,2.0,0.0,2.0,2.0,0.0,1.0,13.0,16.0,9.0,12.0,7.0,4.0,24.0,30.0,4.0,3.0,42.0,47.0,29.0,28.0,13.0,19.0,7.0,3.0,31.0,2.0,2.0,True,Bournemouth,Man Utd,2025-26
20252320,202531,23,20,1819.66,1784.7,59.0,41.0,1.25,1.34,14.0,8.0,3.0,7.0,3.0,3.0,3.0,1.0,365.0,252.0,13.0,13.0,13.0,3.0,0.78,1.19,0.47,0.15,1.25,1.34,1.22,2.17,5.0,0.0,6.0,1.0,1.0,0.0,7.0,6.0,7.0,2.0,459.0,336.0,199.0,119.0,166.0,133.0,14.0,21.0,6.0,3.0,16.0,12.0,27.0,16.0,2.0,0.0,1.0,2.0,0.0,0.0,19.0,21.0,7.0,9.0,1.0,6.0,14.0,40.0,4.0,3.0,72.0,57.0,44.0,39.0,28.0,18.0,13.0,6.0,31.0,0.0,3.0,True,Spurs,Nott'm Forest,2025-26
20250907,202531,9,7,1831.61,1930.44,36.0,64.0,1.18,0.93,10.0,12.0,9.0,4.0,2.0,2.0,1.0,2.0,318.0,617.0,6.0,7.0,3.0,9.0,1.14,0.22,0.04,0.71,1.18,0.93,2.03,1.07,0.0,4.0,1.0,4.0,0.0,1.0,9.0,9.0,1.0,3.0,392.0,690.0,177.0,252.0,141.0,365.0,20.0,15.0,6.0,1.0,16.0,15.0,25.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,15.0,7.0,7.0,2.0,2.0,29.0,22.0,4.0,5.0,49.0,44.0,36.0,30.0,13.0,14.0,8.0,9.0,31.0,3.0,0.0,True,Everton,Chelsea,2025-26
20251828,202531,18,28,1866.62,1705.73,60.0,40.0,1.27,2.45,16.0,17.0,4.0,7.0,1.0,3.0,0.0,1.0,324.0,184.0,8.0,19.0,9.0,5.0,0.63,1.63,0.64,0.81,1.27,2.45,0.55,2.54,8.0,5.0,4.0,5.0,1.0,0.0,8.0,11.0,8.0,6.0,398.0,257.0,188.0,82.0,136.0,102.0,19.0,14.0,7.0,6.0,18.0,17.0,22.0,29.0,1.0,0.0,1.0,6.0,0.0,0.0,13.0,17.0,6.0,4.0,6.0,4.0,38.0,31.0,4.0,3.0,53.0,40.0,36.0,28.0,17.0,12.0,4.0,5.0,31.0,1.0,2.0,True,Newcastle,Sunderland,2025-26
20250514,202531,5,14,1829.52,1949.06,47.0,53.0,2.17,1.03,16.0,12.0,7.0,5.0,5.0,1.0,3.0,0.0,297.0,346.0,11.0,11.0,4.0,8.0,1.47,0.91,0.7,0.11,2.17,1.03,2.45,1.01,7.0,4.0,2.0,3.0,0.0,0.0,11.0,10.0,5.0,2.0,380.0,431.0,138.0,161.0,159.0,185.0,23.0,24.0,6.0,5.0,22.0,30.0,32.0,29.0,2.0,1.0,5.0,5.0,0.0,0.0,11.0,12.0,7.0,12.0,3.0,3.0,25.0,30.0,4.0,4.0,36.0,43.0,28.0,33.0,8.0,10.0,6.0,10.0,31.0,2.0,1.0,True,Brighton,Liverpool,2025-26
20251006,202531,10,6,1807.68,1685.09,56.0,44.0,3.15,1.24,22.0,9.0,6.0,5.0,4.0,4.0,2.0,3.0,442.0,343.0,6.0,9.0,6.0,6.0,2.21,0.98,0.16,0.27,2.37,1.24,3.16,1.17,10.0,1.0,6.0,3.0,0.0,0.0,17.0,6.0,5.0,3.0,518.0,413.0,219.0,192.0,223.0,151.0,30.0,36.0,5.0,4.0,19.0,12.0,42.0,16.0,1.0,0.0,2.0,2.0,0.0,1.0,18.0,13.0,6.0,7.0,3.0,6.0,25.0,24.0,4.0,3.0,49.0,34.0,30.0,21.0,19.0,13.0,3.0,3.0,31.0,3.0,1.0,True,Fulham,Burnley,2025-26
20250226,202531,2,26,1929.21,1743.59,59.0,41.0,1.69,0.85,23.0,9.0,7.0,1.0,3.0,0.0,2.0,0.0,452.0,283.0,3.0,7.0,6.0,6.0,1.02,0.5,0.67,0.35,1.69,0.85,1.42,0.16,9.0,3.0,7.0,5.0,0.0,0.0,12.0,8.0,11.0,1.0,507.0,342.0,196.0,153.0,256.0,130.0,22.0,23.0,5.0,6.0,20.0,14.0,35.0,19.0,0.0,4.0,0.0,1.0,0.0,0.0,18.0,13.0,4.0,10.0,5.0,8.0,17.0,21.0,1.0,4.0,45.0,39.0,31.0,25.0,14.0,14.0,6.0,9.0,31.0,2.0,0.0,True,Aston Villa,West Ham,2025-26
