player_id,fixture_order,gw_id,opponent,is_home,difficulty
222,1,202606,hul,False,2
222,2,202607,CHE,True,4
222,3,202608,ars,False,5
222,4,202609,new,False,3
222,5,202610,COV,True,2
225,1,202605,ful,False,3
225,2,202606,TOT,True,3
225,3,202607,lee,False,3
225,4,202608,BOU,True,3
225,5,202609,che,False,4
227,1,202606,LEE,True,2
227,2,202607,nfo,False,3
227,3,202608,EVE,True,3
227,4,202609,liv,False,4
227,5,202610,HUL,True,2
229,1,202605,ful,False,3
229,2,202606,TOT,True,3
229,3,202607,lee,False,3
229,4,202608,BOU,True,3
229,5,202609,che,False,4
230,1,202606,LEE,True,2
230,2,202607,nfo,False,3
230,3,202608,EVE,True,3
230,4,202609,liv,False,4
230,5,202610,HUL,True,2
240,1,202606,cry,False,3
240,2,202607,ARS,True,4
240,3,202608,ips,False,2
240,4,202609,bre,False,3
240,5,202610,MCI,True,4
242,1,202606,mun,False,4
242,2,202607,COV,True,2
242,3,202608,che,False,4
242,4,202609,CRY,True,3
242,5,202610,lee,False,3
245,1,202606,avl,False,4
245,2,202607,LIV,True,4
245,3,202608,hul,False,2
245,4,202609,NFO,True,3
245,5,202610,bha,False,3
247,1,202605,MUN,True,4
247,2,202606,ips,False,2
247,3,202607,HUL,True,2
247,4,202608,cov,False,2
247,5,202609,avl,False,4
248,1,202605,bou,False,3
248,2,202606,MCI,True,4
248,3,202607,bre,False,3
248,4,202608,BHA,True,2
248,5,202609,ARS,True,4
252,1,202606,FUL,True,2
252,2,202607,mci,False,5
252,3,202608,NFO,True,3
252,4,202609,hul,False,2
252,5,202610,BOU,True,3
255,1,202606,avl,False,4
255,2,202607,LIV,True,4
255,3,202608,hul,False,2
255,4,202609,NFO,True,3
255,5,202610,bha,False,3
256,1,202606,NEW,True,2
256,2,202607,tot,False,3
256,3,202608,FUL,True,2
256,4,202609,SUN,True,2
256,5,202610,eve,False,3
257,1,202606,hul,False,2
257,2,202607,CHE,True,4
257,3,202608,ars,False,5
257,4,202609,new,False,3
257,5,202610,COV,True,2
258,1,202605,ful,False,3
258,2,202606,TOT,True,3
258,3,202607,lee,False,3
258,4,202608,BOU,True,3
258,5,202609,che,False,4
273,1,202605,lee,False,3
273,2,202606,NFO,True,3
273,3,202607,bha,False,3
273,4,202608,NEW,True,2
273,5,202609,tot,False,3
285,1,202605,lee,False,3
285,2,202606,NFO,True,3
285,3,202607,bha,False,3
285,4,202608,NEW,True,2
285,5,202609,tot,False,3
289,1,202605,ful,False,3
289,2,202606,TOT,True,3
289,3,202607,lee,False,3
289,4,202608,BOU,True,3
289,5,202609,che,False,4
290,1,202606,FUL,True,2
290,2,202607,mci,False,5
290,3,202608,NFO,True,3
290,4,202609,hul,False,2
290,5,202610,BOU,True,3
293,1,202605,lee,False,3
293,2,202606,NFO,True,3
293,3,202607,bha,False,3
293,4,202608,NEW,True,2
293,5,202609,tot,False,3
295,1,202606,cry,False,3
295,2,202607,ARS,True,4
295,3,202608,ips,False,2
295,4,202609,bre,False,3
295,5,202610,MCI,True,4
303,1,202606,hul,False,2
303,2,202607,CHE,True,4
303,3,202608,ars,False,5
303,4,202609,new,False,3
303,5,202610,COV,True,2
306,1,202606,FUL,True,2
306,2,202607,mci,False,5
306,3,202608,NFO,True,3
306,4,202609,hul,False,2
306,5,202610,BOU,True,3
309,1,202606,LEE,True,2
309,2,202607,nfo,False,3
309,3,202608,EVE,True,3
309,4,202609,liv,False,4
309,5,202610,HUL,True,2
313,1,202605,SUN,True,2
313,2,202606,liv,False,4
313,3,202607,IPS,True,2
313,4,202608,avl,False,4
313,5,202609,BHA,True,2
317,1,202606,EVE,True,3
317,2,202607,ful,False,3
317,3,202608,BRE,True,3
317,4,202609,IPS,True,2
317,5,202610,ars,False,5
318,1,202605,bou,False,3
318,2,202606,MCI,True,4
318,3,202607,bre,False,3
318,4,202608,BHA,True,2
318,5,202609,ARS,True,4
319,1,202606,BOU,True,3
319,2,202607,eve,False,3
319,3,202608,TOT,True,3
319,4,202609,MUN,True,4
319,5,202610,sun,False,3
323,1,202605,bou,False,3
323,2,202606,MCI,True,4
323,3,202607,bre,False,3
323,4,202608,BHA,True,2
323,5,202609,ARS,True,4
327,1,202606,mun,False,4
327,2,202607,COV,True,2
327,3,202608,che,False,4
327,4,202609,CRY,True,3
327,5,202610,lee,False,3
334,1,202606,mun,False,4
334,2,202607,COV,True,2
334,3,202608,che,False,4
334,4,202609,CRY,True,3
334,5,202610,lee,False,3
337,1,202605,bou,False,3
337,2,202606,MCI,True,4
337,3,202607,bre,False,3
337,4,202608,BHA,True,2
337,5,202609,ARS,True,4
341,1,202605,lee,False,3
